Filename,t_ms,F0
file144,990,180.949
file144,1000,180.949
file144,1010,180.949
file144,1020,180.949
file144,1030,180.949
file144,1040,180.949
file144,1050,180.949
file144,1060,180.949
file144,1070,180.949
file144,1080,181.116
file144,1090,176.056
file144,1100,177.491
file144,1110,177.701
file144,1120,178.279
file144,1130,178.016
file144,1140,179.665
file144,1140,179.665
file144,1150,170.05
file144,1160,177.537
file144,1170,176.492
file144,1180,174.326
file144,1190,173.542
file144,1200,171.105
file144,1210,171.227
file144,1220,169.247
file144,1230,177.189
file144,1240,164.713
file144,1250,162.94
file144,1260,161.768
file144,1270,160.633
file144,1280,161.022
file144,1290,160.893
file144,1300,161.41
file144,1310,161.814
file144,1320,160.945
file144,1330,159.722
file144,1340,160.687
file144,1350,161.918
file144,1360,141.994
file144,1370,162.156
file144,1380,160.78
file144,1390,162.125
file144,1400,160.967
file144,1410,161.534
file144,1420,160.701
file144,1430,160.093
file144,1440,158.414
file144,1450,155.698
file144,1460,153.549
file144,1470,149.786
file144,1480,141.572
file144,1490,139.769
file144,1500,120.605
file144,1510,120.451
file144,1520,164.511
file144,1530,164.511
file144,1530,164.511
file144,1540,165.8
file144,1550,157.605
file144,1560,155.203
file144,1570,143.675
file144,1580,146.575
file144,1590,141.986
file144,1600,142.273
file144,1610,141.825
file144,1620,140.326
file144,1630,137.507
file144,1640,134.944
file144,1650,133.78
file144,1660,131.417
file144,1670,131.059
file144,1680,129.537
file144,1690,127.048
file144,1700,126.873
file144,1710,125.991
file144,1720,122.128
file144,1730,118.553
file144,1740,117.591
file144,1750,117.898
file144,1760,118.161
file144,1770,116.03
file144,1780,115.776
file144,1790,114.025
file144,1800,113.032
file144,1810,114.078
file144,1820,114.37
file144,1830,110.497
file144,1840,111.382
file144,1850,111.513
file144,1860,112.382
file144,1870,106.665
file144,1880,111.85
file144,1890,114.929
file144,1900,113.967
file144,1910,119.097
file144,1920,113.885
file144,1930,117.53
file144,1940,110.492
file144,1950,112.417
file144,1960,107.592
file144,1970,112.472
file144,1980,112.081
file144,1990,111.206
file144,2000,112.342
file144,2010,112.342
file144,2020,112.342
file145,970,159.031
file145,980,160.851
file145,990,151.769
file145,1000,170.171
file145,1010,170.171
file145,1020,180.671
file145,1030,182.081
file145,1040,176.622
file145,1050,178.306
file145,1060,180.166
file145,1070,180.56
file145,1080,180.436
file145,1090,181.889
file145,1100,182.872
file145,1100,182.872
file145,1110,179.734
file145,1120,180.649
file145,1130,181.057
file145,1140,179.644
file145,1150,177.216
file145,1160,176.864
file145,1170,175.277
file145,1180,183.688
file145,1190,172.667
file145,1200,171.808
file145,1210,169.481
file145,1220,168.038
file145,1230,167.885
file145,1240,167.668
file145,1250,166.893
file145,1260,166.809
file145,1270,167.055
file145,1280,165.546
file145,1290,166.046
file145,1300,165.529
file145,1310,160.594
file145,1320,172.826
file145,1330,161.208
file145,1340,167.498
file145,1350,165.055
file145,1360,165.419
file145,1370,166.522
file145,1380,164.1
file145,1390,163.278
file145,1400,162.611
file145,1410,158.617
file145,1420,157.636
file145,1430,149.871
file145,1440,142.871
file145,1450,146.245
file145,1460,137.978
file145,1470,122.294
file145,1480,120.021
file145,1490,118.496
file145,1490,118.496
file145,1500,120.274
file145,1510,121.831
file145,1520,121.577
file145,1530,123.492
file145,1540,117.388
file145,1550,126.538
file145,1560,137.278
file145,1570,140.852
file145,1580,140.597
file145,1590,140.01
file145,1600,137.903
file145,1610,137.233
file145,1620,138.497
file145,1630,136.628
file145,1640,135.822
file145,1650,133.214
file145,1660,131.721
file145,1670,131.75
file145,1680,129.247
file145,1690,124.516
file145,1700,125.454
file145,1710,120.635
file145,1720,118.198
file145,1730,116.523
file145,1740,112.714
file145,1750,114.377
file145,1760,110.551
file145,1770,105.013
file145,1780,104.782
file145,1790,106.711
file145,1800,101.745
file145,1810,101.722
file145,1820,109.074
file145,1830,109.795
file145,1840,111.861
file145,1850,116.419
file145,1860,116.115
file145,1870,114.233
file145,1880,113.396
file145,1890,109.059
file145,1900,116.802
file145,1910,104.782
file145,1920,112.996
file145,1930,56.891
file145,1940,57.16
file145,1950,58.049
file145,1960,59.653
file145,1970,63.135
file146,780,205.807
file146,790,205.807
file146,800,205.807
file146,810,205.807
file146,820,205.807
file146,830,205.807
file146,840,205.807
file146,850,205.807
file146,860,191.179
file146,870,181.611
file146,880,175.482
file146,890,176.298
file146,900,171.488
file146,910,173.615
file146,920,171.85
file146,920,171.85
file146,930,169.165
file146,940,162.62
file146,950,168.006
file146,960,165.215
file146,970,164.47
file146,980,162.186
file146,990,162.102
file146,1000,162.794
file146,1010,171.82
file146,1020,161.752
file146,1030,160.335
file146,1040,158.769
file146,1050,158.884
file146,1060,158.511
file146,1070,157.946
file146,1080,156.373
file146,1090,155.796
file146,1100,155.777
file146,1110,155.349
file146,1120,156.877
file146,1130,160.242
file146,1140,176.541
file146,1150,156.066
file146,1160,161.132
file146,1170,157.183
file146,1180,155.776
file146,1190,156.556
file146,1200,154.431
file146,1210,153.206
file146,1220,152.429
file146,1230,149.948
file146,1240,148.447
file146,1250,146.88
file146,1260,140.085
file146,1270,122.345
file146,1280,134.742
file146,1290,136.136
file146,1300,125.282
file146,1300,125.282
file146,1310,122.926
file146,1320,121.514
file146,1330,121.584
file146,1340,120.808
file146,1350,114.939
file146,1360,138.372
file146,1370,123.693
file146,1380,132.008
file146,1390,124.369
file146,1400,126.256
file146,1410,153.19
file146,1420,156.756
file146,1430,138.802
file146,1440,144.949
file146,1450,175.173
file146,1460,158.824
file146,1470,145.924
file146,1480,141.295
file146,1490,141.032
file146,1500,141.409
file146,1510,137.064
file146,1520,135.005
file146,1530,132.311
file146,1540,129.883
file146,1550,126.937
file146,1560,125.311
file146,1570,120.467
file146,1580,114.94
file146,1590,114.957
file146,1600,114.443
file146,1610,113.27
file146,1620,108.925
file146,1630,108.21
file146,1640,106.621
file146,1650,108.111
file146,1660,104.708
file146,1670,100.244
file146,1680,103.644
file146,1690,100.474
file146,1700,103.89
file146,1710,103.843
file146,1720,104.207
file146,1730,109.104
file146,1740,110.683
file146,1750,108.754
file146,1760,108.205
file146,1770,112.82
file146,1780,109.267
file146,1790,108.468
file146,1800,106.724
file146,1810,109.81
file146,1820,106.775
file146,1830,109.003
file146,1840,105.616
file146,1850,106.23
file146,1860,101.45
file146,1870,98.645
file146,1880,99.794
file146,1890,104.543
file146,1900,104.543
file146,1910,104.543
file147,740,240.245
file147,750,240.245
file147,760,240.245
file147,770,231.917
file147,780,231.917
file147,790,226.065
file147,800,210.973
file147,810,212.442
file147,820,179.372
file147,830,174.531
file147,840,175.191
file147,850,175.341
file147,860,174.463
file147,860,174.463
file147,870,171.507
file147,880,182.264
file147,890,177.451
file147,900,179.535
file147,910,180.888
file147,920,181.016
file147,930,181.288
file147,940,184.491
file147,950,175.462
file147,960,179.996
file147,970,178.806
file147,980,176.684
file147,990,177.105
file147,1000,172.672
file147,1010,174.746
file147,1020,175.092
file147,1030,175.699
file147,1040,174.479
file147,1050,172.114
file147,1060,172.658
file147,1070,173.221
file147,1080,153.918
file147,1090,157.468
file147,1100,168.234
file147,1110,174.398
file147,1120,174.907
file147,1130,171.408
file147,1140,172.608
file147,1150,172.455
file147,1160,172.042
file147,1170,170.193
file147,1180,162.929
file147,1190,159.534
file147,1200,169.139
file147,1210,161.806
file147,1220,150.432
file147,1230,137.254
file147,1230,137.254
file147,1240,140.282
file147,1250,139.986
file147,1260,129.403
file147,1270,135.896
file147,1280,129.721
file147,1290,144.567
file147,1300,120.744
file147,1310,127.075
file147,1320,140.296
file147,1330,152.094
file147,1340,154.492
file147,1350,152.365
file147,1360,148.692
file147,1370,147.171
file147,1380,145.966
file147,1390,145.374
file147,1400,141.08
file147,1410,138.938
file147,1420,136.515
file147,1430,134.27
file147,1440,131.972
file147,1450,131.9
file147,1460,122.207
file147,1470,125.041
file147,1480,125.451
file147,1490,119.697
file147,1500,117.083
file147,1510,116.77
file147,1520,114.301
file147,1530,114.205
file147,1540,108.803
file147,1550,117.925
file147,1560,109.389
file147,1570,112.237
file147,1580,108.288
file147,1590,109.919
file147,1600,107.356
file147,1610,114.746
file147,1620,111.639
file147,1630,112.407
file147,1640,108.707
file147,1650,109.22
